1000 1000
850 716 87229106
755 473 793156815
227 271 256097748
70 536 154940448
516 78 599490762
217 812 901178998
924 600 199625290
665 587 431177466
203 795 433677697
655 520 846597058
539 428 719502218
851 399 740349039
783 234 596431806
371 418 380905303
368 251 548085149
742 239 209573370
334 478 890787288
813 20 531691832
653 42 134746112
808 958 600737835
570 320 341619245
581 566 388959489
39 654 387998741
315 371 716340032
300 895 172641155
669 832 653037577
431 230 427025903
867 817 890599032
312 593 713595775
352 8 565900061
759 965 318908390
828 776 831696163
726 248 339823345
542 754 170914372
705 81 869542556
150 334 436484171
808 517 42594044
692 604 639410231
277 47 971726098
243 3 332623370
214 999 342645405
519 178 761128039
190 92 257798771
34 293 639793650
157 850 985973254
64 681 676050300
317 665 376056099
211 184 195933342
647 280 840981665
935 974 335964048
618 960 951667720
810 793 553705592
533 252 477913978
266 901 916926517
889 464 644638564
146 719 105797331
197 983 980326208
93 855 791764995
768 676 679771855
263 524 257796782
257 719 40020693
264 974 708023429
458 861 460564734
915 605 588259987
942 830 720609589
89 709 271776846
611 36 514416754
304 846 903397099
745 887 645061464
985 248 718810318
903 950 338333046
611 731 588931259
938 220 339065861
921 874 129801140
219 775 604333154
95 682 132379366
63 324 416970113
410 151 463577538
949 221 928439849
782 58 776843115
749 636 172694329
209 767 390790768
704 960 664685474
870 325 292472425
250 424 683247842
595 16 736435098
695 404 623754568
38 211 582822527
104 291 106160411
530 251 83163334
17 92 306243808
188 372 107028276
835 282 630902166
367 793 905205413
779 304 973282546
490 396 258373423
824 244 97301202
593 310 973179298
50 195 988224878
207 503 116675865
143 928 83856578
509 692 401410632
465 340 480983381
782 215 141669062
54 480 117458732
552 989 650101139
469 899 418847660
304 589 994582439
422 926 879211123
469 635 909983870
420 346 739941086
748 859 623552775
963 885 628510059
487 842 961486315
124 871 922552554
704 168 882565735
944 283 130300662
787 24 585641663
979 819 218693318
983 57 230774355
316 703 621554683
278 23 463635782
659 77 897645241
332 763 492980114
961 219 60144852
757 652 200763376
211 279 89638535
889 804 607241239
580 809 236672127
625 621 318129536
580 941 352949288
67 193 101440081
599 484 473386911
668 744 935164757
797 526 209306317
461 115 324980800
305 232 171021736
677 469 989579860
926 524 643828565
812 405 122050200
364 73 426587086
543 444 614123099
744 869 144391160
848 684 177961657
296 887 641173325
200 735 903225712
925 579 387964860
259 685 274980040
23 422 695251773
329 610 9443517
285 1000 373600117
577 356 499351518
796 599 731326891
474 373 840556274
449 856 912222210
608 272 624164895
958 573 216406853
998 31 340632439
440 954 638812038
665 609 975365765
155 958 735353816
898 867 47844683
571 118 793578444
726 280 106560691
121 59 462179977
833 485 903435414
647 305 737289689
735 59 133496342
761 890 241220670
637 724 897147296
838 863 750889432
702 665 83119773
806 533 449969131
837 538 569855448
272 9 276309329
712 881 502787870
378 521 186165323
759 891 955025597
462 496 576863681
99 530 533251040
675 694 224133985
680 917 456863972
649 986 372834811
947 996 164815666
216 902 889259528
151 768 295527996
728 861 905398049
946 133 304262386
203 317 976336280
706 607 552313951
807 283 423359844
17 555 684682249
655 929 338163804
161 258 281218260
713 339 118198164
332 869 841576524
359 682 208095669
239 658 230897528
854 569 219092752
469 363 323161760
659 249 354815506
552 536 682400543
76 702 61301826
275 243 647250655
549 609 989849370
122 244 111487898
276 536 897923353
326 161 202948427
268 547 493358691
210 612 724761839
412 445 196060415
260 367 558799985
158 713 83013375
183 969 850097331
149 93 6495930
670 956 562859450
633 4 449308740
501 51 68339223
703 294 694794277
742 980 106605379
77 392 764979412
161 893 459758363
700 532 328779565
45 284 323374683
37 136 871820075
330 545 366925575
671 843 27129831
88 787 624765846
919 596 290655116
327 688 980618380
781 948 761588985
969 793 808532115
586 274 328103230
364 499 663731362
800 364 74255814
215 526 651533617
819 754 221184797
863 87 129270524
335 550 67851310
986 998 808325410
346 804 650296388
606 798 258897087
755 663 173088525
677 885 196324273
116 913 6929294
102 71 936476334
935 140 422649683
581 702 768253837
378 37 492024283
954 647 595335261
787 467 109906194
229 187 710059905
822 578 646201736
338 488 232897302
124 605 617039358
942 553 58664131
249 891 766256373
139 731 806071165
726 433 718757475
187 582 723388531
27 797 81970941
497 239 227812361
386 225 18106123
883 873 835313430
874 178 620042243
417 609 377784154
659 638 185997346
334 753 56499035
274 617 995513544
299 155 122751944
980 38 899503593
1000 943 82302323
463 786 895533811
171 306 598733594
111 825 464186674
127 873 991564879
214 658 379235139
527 494 824406
997 742 859338371
920 238 709784679
794 657 183190853
9 747 517985240
910 704 386582588
955 914 486651732
982 740 64283736
40 225 78817067
951 449 344743057
255 884 917473156
718 169 105268438
916 989 796787290
990 654 960165876
250 108 617899016
508 877 162594827
801 314 446150753
287 193 865246836
858 848 252654068
451 424 417985793
520 822 340863287
438 790 794515368
191 802 534063111
290 4 83953779
985 509 877167403
712 81 784947663
737 869 510122260
189 945 529606200
977 115 623164488
175 800 418303305
525 216 493961519
496 888 384331401
39 272 762027964
481 240 891968521
211 934 334589416
658 853 694595814
165 65 167072393
315 190 782925407
186 727 321400129
949 813 590712315
889 889 243686555
373 726 730389682
329 270 209790507
345 309 111542056
448 953 338691533
801 582 688634513
794 937 173987841
738 562 965584329
645 93 995927948
620 590 82172527
375 550 303837020
99 503 450750253
14 618 26732948
501 609 803292599
545 726 283352556
654 212 136941153
830 786 619744535
957 150 887993380
658 500 827706895
734 822 655583572
721 487 244759356
503 824 673872377
470 900 814873131
43 871 686440209
409 955 726485584
796 511 471114211
264 123 529697809
882 52 70974103
614 21 193854290
217 889 496712967
908 397 597231727
721 473 616519628
915 524 221480041
882 534 556596538
555 166 78265505


