63360 126216 
63177 63176 15 
63176 63157 20 
63176 63175 14 
63175 63156 14 
63175 63174 19 
63174 63155 15 
63174 63173 19 
63173 63154 13 
63172 63153 11 
63169 63150 18 
63169 63168 18 
63168 63149 20 
63167 63148 14 
63166 63147 11 
63157 63156 17 
63156 63137 17 
63156 63155 19 
63155 63136 17 
63155 63154 20 
63154 63135 19 
63154 63153 15 
63153 63134 17 
63152 63133 15 
63151 63132 17 
63150 63131 17 
63150 63149 15 
63149 63130 13 
63148 63128 13 
63148 63147 18 
63147 63127 12 
63137 63136 14 
63135 63134 16 
63134 63114 15 
63133 63113 17 
63131 63111 18 
63131 63130 20 
63130 63110 15 
63130 63129 15 
63129 63109 13 
63128 63107 12 
63128 63127 15 
63113 63092 14 
63112 63091 20 
63111 63090 12 
63111 63110 13 
63110 63089 14 
63110 63109 13 
63109 63088 11 
63108 63087 18 
63107 63086 11 
63107 63108 18 
63094 63093 19 
63090 63069 20 
63090 63089 17 
63089 63068 11 
63089 63088 11 
63088 63067 17 
63087 63065 14 
63087 63086 18 
63086 63064 15 
63086 63085 20 
63085 63063 16 
63077 63055 16 
63075 63053 16 
63069 63047 20 
63068 63046 18 
63068 63067 11 
63067 63045 18 
63067 63066 13 
63066 63044 15 
63065 63043 10 
63065 63064 17 
63055 63033 12 
63054 63032 20 
63047 63025 12 
63047 63046 16 
63046 63024 17 
63046 63045 16 
63045 63023 16 
63045 63044 13 
63044 63022 14 
63043 63021 20 
63043 63042 12 
63042 63020 18 
63025 63024 19 
63024 63002 15 
63024 63023 20 
63023 63001 16 
63023 63022 19 
63022 63000 16 
63021 62999 15 
63021 63020 10 
63020 62998 16 
63019 62997 20 
63001 62979 18 
63001 63000 16 
63000 62978 11 
62999 62976 11 
62998 62975 11 
62998 62999 19 
62979 62978 14 
62978 62955 12 
62978 62977 15 
62977 62954 15 
62976 62949 19 
62976 62975 12 
62975 62948 17 
62974 62947 16 
62964 62937 19 
62955 62928 18 
62955 62954 19 
62953 62926 11 
62953 62952 10 
62952 62925 13 
62952 62951 11 
62951 62924 10 
62951 62950 16 
62950 62923 14 
62949 62919 15 
62949 62948 16 
62948 62918 11 
62947 62917 14 
62937 62907 20 
62929 62899 14 
62927 62897 19 
62927 62926 12 
62926 62896 11 
62926 62925 17 
62925 62895 15 
62925 62924 14 
62924 62894 18 
62924 62923 13 
62923 62893 18 
62923 62922 13 
62922 62892 16 
62922 62921 18 
62921 62891 15 
62921 62920 10 
62920 62890 15 
62919 62889 20 
62919 62918 14 
62918 62888 13 
62917 62887 10 
62917 62918 20 
62907 62877 16 
62898 62868 16 
62897 62867 16 
62897 62896 14 
62896 62866 13 
62896 62895 16 
62895 62865 15 
62895 62894 12 
62894 62864 13 
62894 62893 16 
62893 62863 12 
62893 62892 13 
62892 62862 12 
62892 62891 19 
62891 62861 17 
62891 62890 11 
62890 62860 13 
62889 62888 20 
62888 62859 12 
62887 62858 19 
62868 62839 18 
62867 62838 15 
62866 62837 17 
62866 62865 13 
62865 62836 12 
62865 62864 13 
62864 62835 17 
62864 62863 17 
62863 62862 10 
62862 62861 15 
62861 62834 11 
62861 62860 12 
62860 62833 14 
62859 62832 13 
62858 62831 12 
62848 62821 15 
62847 62820 10 
62838 62811 17 
62838 62837 20 
62837 62810 18 
62837 62836 20 
62836 62809 18 
62836 62835 13 
62835 62808 13 
62834 62807 12 
62834 62833 17 
62833 62806 12 
62832 62799 15 
62821 62788 19 
62820 62787 11 
62819 62786 14 
62811 62778 12 
62810 62777 16 
62810 62809 15 
62809 62776 13 
62809 62808 14 
62808 62775 17 
62807 62774 11 
62807 62806 18 
62806 62773 18 
62806 62805 16 
62805 62772 16 
62805 62804 10 
62804 62771 16 
62804 62803 18 
62803 62770 17 
62803 62802 17 
62802 62769 11 
62802 62801 15 
62801 62768 18 
62801 62800 10 
62800 62767 13 
62799 62766 10 
62788 62755 13 
62787 62754 20 
62787 62786 18 
62787 62788 16 
62786 62753 16 
62785 62752 16 
62784 62751 18 
62778 62745 16 
62778 62777 15 
62777 62744 15 
62777 62776 15 
62776 62743 12 
62776 62775 14 
62775 62742 15 
62774 62773 18 
62773 62772 16 
62772 62741 11 
62772 62771 17 
62771 62740 16 
62771 62770 17 
62770 62739 16 
62770 62769 16 
62769 62738 13 
62769 62768 20 
62768 62737 10 
62768 62767 17 
62767 62736 16 
62766 62732 17 
62754 62720 18 
62754 62755 20 
62753 62719 14 
62753 62752 18 
62751 62717 13 
62750 62716 17 
62745 62711 17 
62744 62710 18 
62744 62743 10 
62743 62709 14 
62743 62742 13 
62742 62708 20 
62741 62740 10 
62740 62739 10 
62739 62738 18 
62738 62707 11 
62738 62737 11 
62737 62706 19 
62737 62736 12 
62736 62705 12 
62736 62735 13 
62735 62704 16 
62735 62734 12 
62734 62703 14 
62734 62733 14 
62733 62702 10 
62732 62700 18 
62720 62688 14 
62720 62719 20 
62719 62687 11 
62719 62718 19 
62718 62686 20 
62718 62717 19 
62717 62685 12 
62716 62684 20 
62715 62683 20 
62710 62678 20 
62710 62709 18 
62709 62677 18 
62709 62708 16 
62708 62676 19 
62707 62706 16 
62706 62675 19 
62706 62705 14 
62705 62674 14 
62705 62704 14 
62704 62673 12 
62704 62703 10 
62703 62672 13 
62703 62702 15 
62702 62671 20 
62702 62701 18 
62701 62670 12 
62700 62664 14 
62687 62651 10 
62685 62649 15 
62679 62643 20 
62678 62642 13 
62678 62677 12 
62677 62641 13 
62677 62676 13 
62676 62640 10 
62675 62674 11 
62674 62673 14 
62673 62639 20 
62673 62672 17 
62672 62638 18 
62672 62671 18 
62671 62637 15 
62671 62670 19 
62670 62636 15 
62670 62669 19 
62669 62635 10 
62669 62668 11 
62668 62634 10 
62668 62667 10 
62667 62633 20 
62667 62666 14 
62666 62632 16 
62666 62665 14 
62665 62631 17 
62664 62624 19 
62652 62612 18 
62651 62611 11 
62650 62610 17 
62649 62609 18 
62642 62602 16 
62642 62641 11 
62641 62601 12 
62641 62640 17 
62640 62600 17 
62639 62638 20 
62638 62637 11 
62637 62636 13 
62636 62635 13 
62635 62634 12 
62634 62599 19 
62634 62633 17 
62633 62598 17 
62633 62632 16 
62632 62597 14 
62632 62631 20 
62631 62596 14 
62631 62630 14 
62630 62595 19 
62630 62629 12 
62629 62594 19 
62629 62628 19 
62628 62593 10 
62628 62627 11 
62627 62592 12 
62627 62626 19 
62626 62591 12 
62626 62625 20 
62625 62590 10 
62624 62589 12 
62612 62577 19 
62612 62611 11 
62611 62576 18 
62609 62574 16 
62602 62567 19 
62602 62601 18 
62601 62566 12 
62600 62565 11 
62600 62601 18 
62599 62598 19 
62598 62597 13 
62597 62596 11 
62596 62595 16 
62595 62594 16 
62594 62593 20 
62593 62592 12 
62592 62564 18 
62592 62591 11 
62591 62563 14 
62591 62590 13 
62590 62562 16 
62589 62561 19 
62577 62549 19 
62577 62576 11 
62576 62548 13 
62575 62547 15 
62575 62574 18 
62574 62546 14 
62571 62543 14 
62570 62542 11 
62567 62539 16 
62567 62566 13 
62566 62538 11 
62566 62565 16 
62565 62537 16 
62564 62536 15 
62564 62563 10 
62563 62535 14 
62563 62562 12 
62562 62534 11 
62561 62533 14 
62549 62521 14 
62549 62548 15 
62548 62520 18 
62546 62518 10 
62545 62517 10 
62544 62516 15 
62543 62515 16 
62543 62542 20 
62542 62514 13 
62541 62513 17 
62540 62512 13 
62539 62511 20 
62538 62510 11 
62538 62537 15 
62537 62509 11 
62536 62508 13 
62536 62535 18 
62535 62507 17 
62535 62534 17 
62534 62506 14 
62533 62505 11 
62521 62493 11 
62520 62492 18 
62519 62491 20 
62519 62518 17 
62518 62490 17 
62517 62489 15 
62516 62488 10 
62516 62515 15 
62515 62487 13 
62515 62514 16 
62514 62486 15 
62513 62485 15 
62512 62484 18 
62511 62483 15 
62510 62482 19 
62510 62509 15 
62509 62481 14 
62508 62480 15 
62508 62507 12 
62507 62479 18 
62507 62506 11 
62506 62478 15 
62505 62477 16 
62495 62467 20 
62494 62466 17 
62494 62493 13 
62493 62465 19 
62493 62492 15 
62492 62464 19 
62491 62463 12 
62491 62490 15 
62490 62462 20 
62490 62489 20 
62489 62461 14 
62489 62488 17 
62488 62460 10 
62488 62487 20 
62487 62459 16 
62486 62458 12 
62485 62457 14 
62485 62484 16 
62484 62456 13 
62483 62455 18 
62483 62482 17 
62482 62454 13 
62482 62481 20 
62481 62453 14 
62480 62452 18 
62480 62479 11 
62479 62451 11 
62479 62478 17 
62478 62450 10 
62477 62449 15 
62468 62440 15 
62467 62439 18 
62466 62438 16 
62466 62465 16 
62465 62437 20 
62465 62464 20 
62464 62436 13 
62464 62463 20 
62463 62435 20 
62463 62462 19 
62462 62434 12 
62462 62461 19 
62461 62460 20 
62459 62433 11 
62459 62458 20 
62458 62432 11 
62455 62429 16 
62454 62453 19 
62453 62427 16 
62452 62426 14 
62452 62451 11 
62451 62425 17 
62451 62450 14 
62450 62424 19 
62449 62423 13 
62440 62414 16 
62437 62411 20 
62437 62436 10 
62436 62410 10 
62436 62435 11 
62435 62409 16 
62435 62434 10 
62434 62408 15 
62432 62407 17 
62429 62404 17 
62428 62403 17 
62428 62427 16 
62427 62402 11 
62426 62401 14 
62426 62425 11 
62425 62400 11 
62425 62424 19 
62424 62399 11 
62423 62398 17 
62422 62397 13 
62421 62396 17 
62420 62395 11 
62415 62414 19 
62412 62387 19 
62412 62411 20 
62411 62386 17 
62411 62410 11 
62410 62409 11 
62409 62384 13 
62409 62408 14 
62408 62383 11 
62407 62379 20 
62406 62378 11 
62405 62377 16 
62404 62376 16 
62403 62375 16 
62403 62402 19 
62402 62374 10 
62401 62372 15 
62401 62400 20 
62400 62371 18 
62400 62399 19 
62399 62370 18 
62398 62369 10 
62397 62368 16 
62386 62357 16 
62386 62385 13 
62385 62356 19 
62385 62384 15 
62384 62355 16 
62384 62383 11 
62383 62354 13 
62383 62382 16 
62382 62353 20 
62382 62381 20 
62381 62352 18 
62381 62380 19 
62380 62351 12 
62380 62379 10 
62379 62350 12 
62378 62349 12 
62377 62348 20 
62376 62347 17 
62376 62375 19 
62375 62346 13 
62375 62374 16 
62374 62345 13 
62374 62373 12 
62373 62344 15 
62372 62343 12 
62372 62371 20 
62371 62342 12 
62371 62370 17 
62370 62341 12 
62369 62340 15 
62369 62368 16 
62368 62339 20 
62357 62356 20 
62356 62327 15 
62356 62355 10 
62355 62326 19 
62355 62354 14 
62354 62325 17 
62354 62353 16 
62353 62324 15 
62353 62352 17 
62352 62323 18 
62352 62351 13 
62351 62350 10 
62347 62318 11 
62346 62317 18 
62345 62316 11 
62345 62344 20 
62344 62315 10 
62343 62312 11 
62343 62342 18 
62342 62311 12 
62342 62341 20 
62341 62310 12 
62340 62309 12 
62318 62287 20 
62318 62317 20 
62317 62286 13 
62316 62285 20 
62316 62315 11 
62315 62284 15 
62315 62314 11 
62314 62283 13 
62314 62313 10 
62313 62282 12 
62312 62281 20 
62312 62311 11 
62311 62280 19 
62310 62279 13 
62310 62311 17 
62309 62278 17 
62308 62277 20 
62286 62255 15 
62285 62254 17 
62285 62284 18 
62284 62253 18 
62284 62283 18 
62283 62252 10 
62283 62282 11 
62282 62251 18 
62281 62250 17 
62281 62280 16 
62280 62249 17 
62279 62248 13 
62279 62280 11 
62278 62247 12 
62256 62225 20 
62255 62224 11 
62254 62223 12 
62254 62253 15 
62253 62222 20 
62253 62252 16 
62252 62221 19 
62252 62251 13 
62251 62220 14 
62250 62218 18 
62250 62249 11 
62249 62217 18 
62248 62216 12 
62248 62249 13 
62247 62215 20 
62226 62194 18 
62225 62193 11 
62224 62192 16 
62223 62191 13 
62222 62190 11 
62222 62221 15 
62221 62189 12 
62221 62220 16 
62220 62188 17 
62220 62219 13 
62219 62187 10 
62218 62186 11 
62218 62217 18 
62217 62185 10 
62217 62216 11 
62216 62184 14 
62215 62183 14 
62191 62159 20 
62190 62158 19 
62189 62157 12 
62188 62156 11 
62188 62187 15 
62187 62155 13 
62186 62185 15 
62185 62154 11 
62185 62184 19 
62184 62153 11 
62183 62152 20 
62157 62156 16 
62156 62155 20 
62155 62124 12 
62154 62123 15 
62154 62153 20 
62153 62122 11 
62152 62151 20 
62124 62094 11 
62123 62093 18 
62123 62122 12 
62122 62092 14 
62121 62091 10 
62119 62089 16 
62094 62064 17 
62093 62063 11 
62093 62092 11 
62092 62062 20 
62091 62061 10 
62090 62060 19 
62090 62089 19 
62086 62056 17 
62085 62055 18 
62084 62054 11 
62083 62053 10 
62082 62052 14 
62081 62051 11 
62080 62050 14 
62080 62079 17 
62066 62036 20 
62064 62034 19 
62063 62033 13 
62063 62062 18 
62062 62032 15 
62061 62031 14 
62060 62030 13 
62052 62022 10 
62051 62021 13 
62050 62020 19 
62036 62006 13 
62035 62005 14 
62034 62004 16 
62033 62003 20 
62033 62032 17 
62032 62002 20 
62031 62001 10 
62030 62000 12 
62005 61975 14 
62004 61974 19 
62003 61973 10 
62003 62002 18 
62002 61972 17 
62001 61971 13 
61975 61974 17 
61973 61972 15 
61972 61942 18 
61971 61941 19 
61943 61913 14 
61942 61912 20 
61941 61910 17 
61913 61882 12 
61912 61881 18 
61912 61911 15 
61911 61880 12 
61910 61879 10 
61882 61851 20 
61881 61849 13 
61881 61880 16 
61880 61848 19 
61879 61846 15 
61878 61845 19 
61851 61850 19 
61850 61817 12 
61849 61816 17 
61849 61848 10 
61848 61815 20 
61847 61814 18 
61846 61813 19 
61846 61847 15 
61845 61812 14 
61844 61811 14 
61818 61785 20 
61817 61784 19 
61816 61783 16 
61816 61815 11 
61815 61782 20 
61814 61781 16 
61814 61813 13 
61813 61780 10 
61812 61779 19 
61785 61752 14 
61784 61751 11 
61783 61750 17 
61783 61782 14 
61782 61749 19 
61781 61748 15 
61780 61747 19 
61780 61781 12 
61751 61718 16 
61750 61717 19 
61750 61749 19 
61749 61716 18 
61748 61715 10 
61748 61747 20 
61747 61714 12 
61718 61685 17 
61717 61684 14 
61717 61716 11 
61716 61683 12 
61715 61714 15 
61714 61682 20 
61713 61681 19 
61713 61714 19 
61686 61654 18 
61685 61653 14 
61684 61652 10 
61684 61683 19 
61683 61651 18 
61682 61649 15 
61654 61621 16 
61653 61620 11 
61652 61619 20 
61652 61651 12 
61651 61618 19 
61651 61650 20 
61650 61617 20 
61649 61616 10 
61648 61615 18 
61621 61588 19 
61620 61587 20 
61619 61586 11 
61619 61618 13 
61618 61585 12 
61618 61617 12 
61617 61584 15 
61616 61582 10 
61588 61554 12 
61587 61553 11 
61586 61552 20 
61586 61585 11 
61585 61551 11 
61585 61584 17 
61584 61550 10 
61583 61549 16 
61582 61548 13 
61582 61583 16 
61554 61520 19 
61553 61554 16 
61552 61551 19 
61551 61519 20 
61551 61550 10 
61550 61518 18 
61549 61517 14 
61548 61516 16 
61548 61549 15 
61547 61515 15 
61547 61548 20 
61519 61487 19 
61519 61518 18 
61518 61486 19 
61516 61485 19 
61515 61484 17 
61487 61486 20 
61486 61455 15 
61485 61454 10 
61484 61453 16 
61482 61451 13 
61472 61441 10 
61471 61440 14 
61471 61470 19 
61470 61439 15 
61469 61438 10 
61468 61437 17 
61467 61436 17 
61466 61435 13 
61465 61434 11 
61464 61433 19 
61463 61432 11 
61462 61431 18 
61460 61429 18 
61456 61425 18 
61455 61424 12 
61454 61423 17 
61453 61422 16 
61452 61421 17 
61441 61410 11 
61441 61440 20 
61440 61409 15 
61440 61439 17 
61439 61408 13 
61439 61438 18 
61438 61407 18 
61438 61437 13 
61437 61406 20 
61437 61436 10 
61436 61405 11 
61436 61435 10 
61435 61404 16 
61435 61434 18 
61434 61403 11 
61433 61402 17 
61433 61432 17 
61432 61401 16 
61431 61400 19 
61430 61399 17 
61430 61429 19 
61429 61398 14 
61428 61397 12 
61424 61381 10 
61423 61379 12 
61410 61366 16 
61409 61365 20 
61409 61408 13 
61408 61364 18 
61408 61407 15 
61407 61363 11 
61407 61406 10 
61406 61362 17 
61406 61405 16 
61405 61361 13 
61405 61404 15 
61404 61360 17 
61404 61403 15 
61403 61359 13 
61403 61402 20 
61402 61358 15 
61402 61401 11 
61401 61357 13 
61401 61400 18 
61400 61356 18 
61399 61355 18 
61399 61398 14 
61398 61354 20 
61398 61397 17 
61397 61353 13 
61392 61348 13 
61391 61347 12 
61391 61390 19 
61390 61389 17 
61389 61388 11 
61388 61387 15 
61387 61386 11 
61386 61385 15 
61385 61384 14 
61384 61383 10 
61383 61346 14 
61383 61382 13 
61382 61345 16 
61381 61342 12 
61381 61380 20 
61380 61341 18 
61379 61339 15 
61366 61326 14 
61366 61365 15 
61365 61325 16 
61365 61364 14 
61364 61324 12 
61364 61363 14 
61363 61323 18 
61363 61362 11 
61362 61322 18 
61362 61361 10 
61361 61321 18 
61361 61360 20 
61360 61320 16 
61359 61319 13 
61358 61318 20 
61356 61316 20 
61356 61355 19 
61355 61315 18 
61354 61314 11 
61353 61313 18 
61347 61307 14 
61346 61345 13 
61345 61344 17 
61344 61343 10 
61343 61305 15 
61342 61301 20 
61342 61341 15 
61341 61300 18 
61340 61299 10 
61339 61340 13 
61338 61337 18 
61326 61285 12 
61326 61325 19 
61325 61284 17 
61325 61324 16 
61324 61283 20 
61324 61323 20 
61323 61282 12 
61323 61322 17 
61322 61281 18 
61322 61321 14 
61321 61280 10 
61321 61320 14 
61320 61279 16 
61320 61319 17 
61319 61278 15 
61319 61318 11 
61318 61277 20 
61317 61276 14 
61317 61316 16 
61315 61274 18 
61314 61273 13 
61314 61313 20 
61313 61272 11 
61308 61307 13 
61307 61266 18 
61307 61306 14 
61306 61265 10 
61305 61304 14 
61304 61303 12 
61303 61264 11 
61303 61302 18 
61302 61263 16 
61301 61262 19 
61301 61300 13 
61300 61261 11 
61299 61260 15 
61299 61298 19 
61298 61259 13 
61297 61258 18 
61297 61296 19 
61285 61246 18 
61285 61284 17 
61284 61245 12 
61284 61283 13 
61283 61244 14 
61283 61282 11 
61282 61243 10 
61282 61281 19 
61281 61242 14 
61281 61280 18 
61280 61241 18 
61280 61279 13 
61279 61240 11 
61278 61239 20 
61277 61238 19 
61277 61276 15 
61276 61237 16 
61276 61275 19 
61275 61236 16 
61275 61274 19 
61274 61235 12 
61274 61273 16 
61273 61234 10 
61273 61272 19 
61272 61233 10 
61271 61232 18 
61267 61266 12 
61266 61227 19 
61266 61265 14 
61265 61226 20 
61264 61222 16 
61264 61263 11 
61263 61221 11 
61262 61261 13 
61261 61219 10 
61260 61218 15 
61260 61259 18 
61259 61217 16 
61258 61216 15 
61257 61215 16 
61255 61213 17 
61246 61245 10 
61245 61244 10 
61244 61202 20 
61244 61243 18 
61243 61201 12 
61243 61242 12 
61242 61200 11 
61242 61241 12 
61241 61199 17 
61241 61240 18 
61240 61198 19 
61240 61239 14 
61239 61197 10 
61238 61196 17 
61238 61237 19 
61237 61195 13 
61236 61194 18 
61236 61235 18 
61235 61193 16 
61235 61234 11 
61234 61192 19 
61234 61233 17 
61233 61191 16 
61232 61190 13 
61227 61226 18 
61225 61183 10 
61225 61224 14 
61224 61182 16 
61224 61223 20 
61223 61181 13 
61222 61173 15 
61222 61221 12 
61221 61172 20 
61221 61220 15 
61220 61171 17 
61219 61170 15 
61218 61169 11 
61218 61217 15 
61217 61168 16 
61216 61167 20 
61215 61166 14 
61214 61165 12 
61213 61164 19 
61201 61200 12 
61200 61151 20 
61199 61150 14 
61198 61149 20 
61198 61197 16 
61197 61148 16 
61197 61196 11 
61196 61147 11 
61196 61195 18 
61195 61146 15 
61195 61194 17 
61194 61145 20 
61194 61193 20 
61193 61144 15 
61193 61192 10 
61192 61143 18 
61192 61191 19 
61191 61142 10 
61181 61180 11 
61180 61131 12 
61180 61179 18 
61179 61130 17 
61179 61178 15 
61178 61129 13 
61178 61177 18 
61177 61128 18 
61177 61176 17 
61176 61127 18 
61176 61175 16 
61175 61126 11 
61175 61174 19 
61174 61125 19 
61173 61123 11 
61173 61172 11 
61172 61122 16 
61172 61171 13 
61171 61121 11 
61170 61120 15 
61169 61119 19 
61168 61118 13 
61168 61169 17 
61167 61117 18 
61167 61166 16 
61166 61116 17 
61165 61115 20 
61165 61164 20 
61164 61114 20 
61144 61143 19 
61143 61142 19 
61140 61090 17 
61139 61089 12 
61138 61088 14 
61137 61087 12 
61136 61086 12 
61131 61130 11 
61130 61080 13 
61130 61129 12 
61129 61079 13 
61129 61128 16 
61128 61078 11 
61128 61127 14 
61127 61077 13 
61127 61126 15 
61126 61076 16 
61126 61125 12 
61125 61075 18 
61125 61124 19 
61124 61074 15 
61124 61123 17 
61123 61073 15 
61123 61122 17 
61122 61072 12 
61122 61121 14 
61121 61071 18 
61120 61069 10 
61119 61068 16 
61119 61118 20 
61118 61067 15 
61117 61066 15 
61117 61116 16 
61116 61065 18 
61116 61115 17 
61115 61064 13 
61115 61114 14 
61090 61039 12 
61089 61038 11 
61089 61088 19 
61088 61037 11 
61088 61087 11 
61087 61036 13 
61087 61086 13 
61086 61035 18 
61086 61085 11 
61084 61034 12 
61080 61079 13 
61079 61029 10 
61079 61078 17 
61078 61028 15 
61078 61077 11 
61077 61027 14 
61077 61076 14 
61076 61026 12 
61075 61025 18 
61075 61074 14 
61074 61024 11 
61074 61073 10 
61073 61023 16 
61072 61022 15 
61072 61071 18 
61071 61021 15 
61071 61070 11 
61070 61020 16 
61069 61018 15 
61068 61017 13 
61068 61067 18 
61067 61016 20 
61066 61015 10 
61066 61065 18 
61065 61014 19 
61065 61064 10 
61064 61013 13 
61063 61012 20 
61039 60988 14 
61039 61038 16 
61038 60987 14 
61038 61037 12 
61037 60986 18 
61037 61036 14 
61036 60985 19 
61036 61035 14 
61035 60984 17 
61034 60983 12 
61034 61033 16 
61033 60982 19 
61028 61027 11 
61020 60969 11 
61020 61019 19 
61019 60968 20 
61018 60966 16 
61017 61016 10 
61016 60965 14 
61015 60964 15 
61015 61014 20 
61014 60963 14 
61014 61013 16 
61013 60962 14 
61012 60961 19 
61006 60955 16 
61005 60954 15 
60988 60937 18 
60988 60987 12 
60987 60936 19 
60987 60986 18 
60986 60935 13 
60986 60985 16 
60985 60934 14 
60985 60984 13 
60984 60933 16 
60983 60931 15 
60983 60982 19 
60982 60930 19 
60968 60967 16 
60967 60915 16 
60967 60966 10 
60966 60914 19 
60965 60913 15 
60965 60964 11 
60964 60912 18 
60963 60911 15 
60963 60962 11 
60962 60910 13 
60961 60909 19 
60954 60902 13 
60953 60901 20 
60952 60900 10 
60937 60936 17 
60936 60935 15 
60935 60883 16 
60935 60934 10 
60934 60882 10 
60934 60933 11 
60933 60881 14 
60933 60932 13 
60932 60880 16 
60932 60931 10 
60931 60879 20 
60931 60930 16 
60930 60878 15 
60915 60914 12 
60914 60862 14 
60913 60860 16 
60913 60912 14 
60912 60859 17 
60911 60858 16 
60911 60910 19 
60910 60857 19 
60909 60856 19 
60908 60855 13 
60903 60850 16 
60903 60902 13 
60902 60849 11 
60901 60848 11 
60900 60847 14 
60899 60846 10 
60885 60884 10 
60884 60883 17 
60883 60830 11 
60883 60882 13 
60882 60829 16 
60882 60881 20 
60881 60828 13 
60881 60880 20 
60880 60827 13 
60880 60879 16 
60879 60826 17 
60861 60808 14 
60860 60807 11 
60860 60859 16 
60859 60806 13 
60859 60858 20 
60858 60805 19 
60858 60857 17 
60857 60804 20 
60856 60803 16 
60855 60802 14 
60854 60801 13 
60850 60797 15 
60850 60849 17 
60850 60851 16 
60849 60796 10 
60849 60848 20 
60848 60795 14 
60847 60794 13 
60847 60846 17 
60846 60793 10 
60845 60792 11 
60844 60791 16 
60831 60830 15 
60830 60829 10 
60829 60776 13 
60829 60828 10 
60828 60775 16 
60828 60827 10 
60827 60774 18 
60827 60826 20 
60826 60773 13 
60825 60772 17 
60808 60755 19 
60807 60754 10 
60807 60806 13 
60806 60753 18 
60805 60752 16 
60804 60751 16 
60804 60803 12 
60803 60750 17 
60798 60797 14 
60797 60744 10 
60797 60796 15 
60796 60795 17 
60795 60743 14 
60795 60794 12 
60794 60742 16 
60794 60793 12 
60793 60741 19 
60793 60792 20 
60792 60740 20 
60791 60739 18 
60790 60738 19 
60789 60737 14 
60788 60736 19 
60775 60774 18 
60774 60722 16 
60774 60773 18 
60773 60721 18 
60772 60720 17 
60756 60704 20 
60755 60703 15 
60754 60701 17 
60754 60753 12 
60753 60700 14 
60753 60752 20 
60752 60699 10 
60752 60751 15 
60751 60698 13 
60751 60750 18 
60750 60697 12 
60750 60749 17 
60749 60696 16 
60743 60690 10 
60743 60742 11 
60742 60689 10 
60742 60741 14 
60741 60688 20 
60741 60740 11 
60740 60687 13 
60739 60686 20 
60739 60738 19 
60739 60740 19 
60738 60685 16 
60737 60684 12 
60736 60683 13 
60704 60651 14 
60703 60650 15 
60703 60702 17 
60702 60649 12 
60701 60700 10 
60700 60699 18 
60699 60698 11 
60698 60697 16 
60697 60696 17 
60696 60648 12 
60690 60641 13 
60690 60689 14 
60689 60688 13 
60688 60640 13 
60688 60687 20 
60687 60639 16 
60686 60638 18 
60686 60685 15 
60686 60687 10 
60685 60637 16 
60684 60636 17 
60683 60635 15 
60682 60634 18 
60682 60681 20 
60680 60632 20 
60655 60607 20 
60649 60601 20 
60648 60600 11 
60648 60647 10 
60647 60599 18 
60642 60641 20 
60641 60593 19 
60640 60639 16 
60639 60592 20 
60638 60591 11 
60638 60637 18 
